block,timestamp,trader,listingId,tradeType,amount,totalCost,OpenClose,baseIv,callDelta,price,putDelta,skew,vega,netDelta,netStdVega,txHash,strike,expiry,tradeIv,tau
1500093,1640320732,0x1B5a75086461D7896250f236B9433e7379Dc7FDB,269,LONG_PUT,500.0,187.7461077805879,Open,1.20148755,0.8446508692719801,22.19,-0.15534913072802,1.0008333333333335,0.015179334920463658,19781.191651220255,250.4411105657606,0xe2e6b18f4793ea502e905d459c7a20dc0be9be337c769549a64655b776d9fc09,19,1640937600,1.202488789625,616868
1504971,1640330959,0x0A8C2eE08760251705f5aaF7bb0E7B490029Bc27,285,LONG_CALL,300.0,107.64276701278595,Open,1.20198755,0.1755051268597,22.04175044,-0.8244948731403,0.970495,0.01631682927623659,17084.3093947877,228.44039581467524,0x465453fce0c8ec084bb5757475bc0a51f756fa429a69eb5be3a87fdff75a349d,26,1640937600,1.1665229073372498,606641
1505037,1640331065,0x0A8C2eE08760251705f5aaF7bb0E7B490029Bc27,285,LONG_CALL,21.0,7.5977367020584134,Open,1.20202255,0.17670673760633,22.058405500000003,-0.8232932623936701,0.97053,0.01639985636855677,17088.37711466918,228.80945184483403,0x7b1e72608bc06c740ee2d2e5819e6c333aaf39eaf9ba95fcea9cf5caad660111,26,1640937600,1.1665989454515,606535
1506187,1640333009,0x219ce49b918d787b0cE85e23b6eAD08E09d1093A,285,LONG_CALL,500.0,199.58855396097908,Open,1.2028558833333332,0.19317704857883003,22.280135500000004,-0.80682295142117,0.9713633333333334,0.017505243191179107,4431.912194387197,180.92952212970613,0x9f38e68c70af3eef2a58b8d555f6c3d3df1c49423df15a1163e3cea69917fb3c,26,1640937600,1.1684101003542777,604591
1506343,1640333170,0x0960Da039bb8151cacfeF620476e8bAf34Bd9565,281,SHORT_CALL,673.29,509.35153701022074,Open,1.2017337333333333,0.35346517791983,22.27,-0.64653482208017,0.96942785,0.023724557505078674,4201.722660919622,165.24175352047916,0xad6ec9443a4d8ec4fd9796b9b622bd9574fb8e884d30db162a2773aaf377ee5f,24,1640937600,1.1649941493778067,604430
1506460,1640333268,0x0960Da039bb8151cacfeF620476e8bAf34Bd9565,237,SHORT_PUT,114.0,32.25470499234863,Open,1.2129086466666668,0.8929756121489899,22.26,-0.10702438785101,1.0207916666666665,0.011763338596252268,4219.309638416555,163.56062481907244,0x4a1b8b661680fdf0dbaa8aa9a380445683a87661cbffe1fa3b873e7f1e3ecd14,17,1641542400,1.2381270389452776,1209132
1506565,1640333571,0x0960Da039bb8151cacfeF620476e8bAf34Bd9565,237,SHORT_PUT,1000.0,279.8605665997526,Open,1.21124198,0.89355309384238,22.26,-0.10644690615762,1.019125,0.011717487304360903,4326.030848378535,151.82135815106315,0x4662ab441d6564ec895375df4fce076cc402b7ebaceb7bc91ba37ccc28e1fcd0,17,1641542400,1.2344069828675002,1208829
1506635,1640333741,0x0960Da039bb8151cacfeF620476e8bAf34Bd9565,237,SHORT_PUT,100.0,34.49918648416641,Close,1.2114086466666667,0.89351031198162,22.26,-0.10648968801838,1.0192916666666667,0.011720889461909152,4315.404340053596,152.99166096454124,0x2755d18a926c5bef13c48c50f70adf1348c8fa5f3d9e30642675cdfbfc23d950,17,1641542400,1.234778738475278,1208659
1506941,1640334414,0x48DC024B7c559796CFb0d2db3Dbcff26D21D5658,285,LONG_CALL,1.0,0.378244474478989,Open,1.2017354,0.19146556030644998,22.2654312,-0.80853443969355,0.971365,0.017378493704464523,4314.195808207095,152.90535837811316,0x09677d97d88ffb04fc4a61d15f1b297c57fd7e06e4e6efd70148997fca185160,26,1640937600,1.167323706821,603186
1507245,1640334870,0xdEf27D920Be434Fa870978c342671a9b7a7Bd271,285,SHORT_CALL,150.0,47.88308367983431,Open,1.2014854,0.18854814098931003,22.23,-0.8114518590106901,0.971115,0.017181322966831673,4283.524220637962,150.1666770989671,0x01473c731d6f3ca90532ffe697dbb0bae0d9c1971ec547659a9a297449df0779,26,1640937600,1.1667804942209998,602730
1507321,1640334985,0xdEf27D920Be434Fa870978c342671a9b7a7Bd271,273,SHORT_PUT,130.0,67.23535698456566,Open,1.2012687333333332,0.76747458652882,22.245398809999998,-0.23252541347118,1.0,0.01944645268377893,4316.4069258166,147.54257203690747,0x4239f44bdace44b505b7a36a722ae2ea99c4273949ce1015c0e49c8ebff20efd,20,1640937600,1.2012687333333332,602615
